"name","type","location","id","average_score"
장화,이자카야,경남 양산시 물금읍 증산역로 155 01층 103호,73,8.666666666666666
야키토리 코치,"일식튀김,꼬치",서울 영등포구 영중로10길 32-4 지하1층,74,7.974489795918367
야키토리혼바,일식당,서울 용산구 후암로 79 (3층),75,8.10377358490566
아오이토리,베이커리,서울 마포구 와우산로29길 8 K.C빌딩,76,6.371134020618556
후후세이지,이자카야,서울 성북구 정릉로26길 32,77,7.5623376623376615
야키니쿠세이지 연신내점,"육류,고기요리",서울 은평구 연서로27길 13-6 야키니쿠세이지,78,8.51086956521739
스낵바세이지 어부bar,이자카야,서울 은평구 연서로25길 20-4 스낵바세이지 어부바,79,8.143434343434343
잭잭,햄버거,서울 용산구 회나무로6길 21 1층,80,7.545263157894737
소금집델리 성수도원점(폐업),샌드위치,서울 성동구 연무장3길 9 1층,81,6.595890410958904
라운지바이블그레,한식,서울 강남구 논현로175길 101-4 5층,82,0.0
띵스버거,햄버거,서울 성동구 고산자로8길 20 1층 띵스버거,83,7.333333333333333
코치,"일식튀김,꼬치",서울 성동구 성덕정17길 11 1층,84,6.899000000000001
방아실 연탄구이,"육류,고기요리",서울 성동구 왕십리로2길 38 1층,85,6.839999999999999
버거보이 성수낙낙점,햄버거,서울 성동구 아차산로17길 48 1층 R113호,86,6.854166666666667
심야식당세이지 연신내본점,이자카야,서울 은평구 연서로27길 13-6 심야식당세이지,87,7.531914893617022
엄마밥상,"백반,가정식",경북 칠곡군 동명면 팔공산로 157,88,5.835869565217391
안동집 손칼국시,"칼국수,만두",서울 동대문구 고산자로36길 3 신관 지하1층,89,6.360919540229885
피델리오,양식,서울 마포구 월드컵로19길 31-1 3층,90,7.181818181818182
미미옥 신용산점,한식,서울 용산구 한강대로15길 27,91,7.729670329670331
언니네시골집 게스트하우스,게스트하우스,제주 제주시 한경면 용수3길 38 언니네시골집 게스트하우스,92,0.0
대엽,한식,서울 성동구 왕십리로2길 36 1층 3호,93,7.217948717948718
휘뚜루,이자카야,서울 성동구 왕십리로2길 38 1층,94,7.036082474226804
넛츠비어 성수본점,"맥주,호프",서울 성동구 뚝섬로 356 1층,95,7.346938775510204
고씨네고추장찌개,포장마차,서울 중구 수표로 26 1층,96,6.252747252747253
소금집델리 망원,양식,서울 마포구 월드컵로19길 14 2층,97,6.894382022471909
소금집델리 안국,샌드위치,서울 종로구 북촌로4길 19 1층,98,5.872448979591836
조광101,중식당,서울 송파구 새말로10길 8,99,8.301282051282051
참치논데,이자카야,서울 광진구 능동로37길 35 2층,100,7.833333333333333
스낵바 논데,이자카야,서울 성동구 왕십리로 58 1층 108호,101,6.805405405405406
논데,일식당,서울 종로구 종로18길 37 하이뷰디아트 2층,102,7.4340206185567
마늘집,닭볶음탕,서울 마포구 양화로3길 15 2층 201호,103,7.828571428571428
나카지마 고에몽,"초밥,롤",서울 영등포구 국회대로54길 10 아크로타워스퀘어 상가동 지하1층 39호,104,7.953125
가야가야,일본식라면,서울 서대문구 이화여대5길 7-3,105,6.385135135135135
오늘의초밥,"초밥,롤",경기 수원시 영통구 센트럴파크로127번길 18 1층 오늘의초밥,106,7.336842105263158
윰드,브런치카페,서울 강남구 도산대로58길 18 1층,107,7.51530612244898
이야이야앤프렌즈,브런치카페,서울 강남구 도산대로51길 22 1-4층,108,7.311224489795919
미트컬쳐,양식,강원 강릉시 경강로 2629 1층,109,8.095
로기,양식,서울 용산구 한남대로27가길 32 201호 로기,110,8.196
아타리,"일식튀김,꼬치",서울 성동구 성덕정19길 13 1층,111,7.373684210526315
나우 남영,양식,서울 용산구 원효로89길 23 2층,112,8.391752577319588
넘은 봄,한식,제주 제주시 구좌읍 김녕로1길 75-1 1층 넘은봄,113,8.277173913043478
사브서울,와인,서울 강남구 논현로175길 6 B1,114,7.005263157894737
남영탉,"치킨,닭강정",서울 용산구 한강대로80길 12 1층,115,6.736559139784946
마마리마켓,한식,서울 성동구 연무장18길 16 1층 마마리마켓,116,7.545454545454546
팔발라 삼청본점,프랑스음식,서울 종로구 삼청로 61,117,7.0
야키토리묵 신사점,일식당,서울 강남구 강남대로152길 23 지하 1층 야키토리묵 신사,118,7.090425531914893
도시곳간 본점,반찬가게,서울 광진구 능동로 18 지하1층 도시곳간,119,6.333333333333333
