"name","type","location","id","average_score","date_score","friend_score","family_score"
네기 실비,한식,서울 종로구 새문안로2길 10 디팰리스 B1,20,7.146464646464646,7.25,7.14,8.666666666666666
모던오뎅 현대백화점 압구정본점,"오뎅,꼬치",서울 강남구 압구정동 압구정로 165,21,8.5,,,
모던오뎅 신사점,일식당,서울 강남구 도산대로17길 10 1층 모던오뎅,22,6.45625,7.269230769230769,7.044444444444444,2.5
장수나주곰탕,"곰탕,설렁탕","광주 서구 대남대로487번길 14 1, 2층",23,6.368421052631579,6.590909090909091,5.375,5.875
광주옥1947,냉면,광주 서구 상무대로 1104-20,24,5.8355555555555565,5.593333333333333,5.875,5.833333333333333
촨촨지우바,중식당,"서울 중구 을지로 157 대림상가 3층 가358,359",25,7.683673469387755,7.238095238095238,8.282051282051283,9.25
야키토리 묵,"일식튀김,꼬치",서울 마포구 성미산로 165-1 1층 우측,26,7.67741935483871,7.46,8.096428571428572,
에이넷,와인,서울 강남구 논현로159길 46-6 1층,27,8.604285714285714,9.125,8.58695652173913,
본연,한식,서울 강남구 논현로 742 7층,28,8.333333333333334,9.25,7.333333333333333,9.5
천하제일 솥뚜껑,한식,서울 성동구 성수이로7길 27 1층 105-1호,29,8.066326530612244,8.214285714285714,8.15625,8.25
조광201,중식당,서울 송파구 새말로8길 13 2층,30,8.052631578947368,8.157894736842104,7.964285714285714,7.5
면서울,한식,서울 강남구 선릉로 805 1층,31,7.057291666666667,6.984375,7.1521739130434785,7.416666666666667
홍보각,중식당,서울 강남구 봉은사로 130 노보텔 앰배서더 강남 LL층,32,8.161764705882353,8.529411764705882,8.166666666666666,9.083333333333334
쵸이닷,이탈리아음식,서울 강남구 도산대로 457 3층,33,7.110204081632654,8.285714285714286,8.1,6.0
달리아 다이닝,양식,서울 강남구 도산대로45길 14 2층 달리아 다이닝,34,8.414583333333333,8.256756756756756,8.333333333333334,8.841176470588236
중앙감속기,퓨전음식,서울 성동구 성수일로6길 7-1 1층 중앙감속기,35,7.593684210526315,7.592105263157895,7.862068965517241,7.540000000000001
블루샹하이,중식당,경기 성남시 분당구 정자일로 197,36,6.772,5.857142857142857,7.229629629629629,6.648148148148148
소굿,와인,"경기 안산시 단원구 광덕2로 163-11 111호(고잔동, 21세기빌딩) 엘레베이터 맞은편",37,8.392999999999999,8.472972972972974,8.6,7.821428571428571
카사 데 타코,"멕시코,남미음식",경기 안산시 단원구 광덕대로 155 123호,38,7.645833333333333,7.633333333333334,7.555555555555555,7.884615384615385
미미옥 울산점,한식,울산 중구 동천1길 40 세영이노세븐 지식산업센터 1층 C동 160호,39,6.537234042553192,5.7,7.25,8.5
포그,피자,서울 마포구 백범로16안길 15-1 1층,40,7.954545454545454,7.8875,8.166666666666666,8.0
